Material,Tensile Strength (MPa),Elongation @ Break %,Impact Strength IZOD (notched) (kJ / m2),Density (g/cm3),HDT @ 1.8MPa
PP,11.9,200,61,0.9, 70
PA - Conditioned,33.2,143.3,85.4,1.05,65
PET,33.4,2.7,2.1,1.329,91
ASA,34.6,4.5,8.7,1.069,92
PLA,34.7,4.2,3.3,1.248,55
ABS,36.3,7.4,18.8,1.04,91
rPET,38.6,4.3,4.4,1.273,65
PP GF30,41.7,4.4,5.6,1.066,73
TPLA Pro1,48,21.9,20.4,1.25,63
PA - Dry,61.4,9.6,5.8,1.115,65
PAHT CF15 - Conditioned,62.9,2.9,6.5,1.23,91
PET CF15,63.2,3.7,5.7,1.366,80
PAHT CF15 - Dried,103.2,1.8,4.9,1.23,92
